ticker,date,open,high,low,close,adj close,volume
INFY.NS,2023-03-31,1404.0,1429.95,1393.9,1427.95,1427.95,8711006
INFY.NS,2023-03-29,1379.0,1389.9,1364.55,1383.55,1383.55,8809994
INFY.NS,2023-03-28,1392.1,1398.0,1375.85,1377.6,1377.6,6632159
INFY.NS,2023-03-27,1386.25,1395.75,1374.1,1388.95,1388.95,4169662
INFY.NS,2023-03-24,1388.0,1398.95,1377.5,1380.65,1380.65,7557551
INFY.NS,2023-03-23,1383.95,1383.95,1370.0,1374.55,1374.55,7604463
INFY.NS,2023-03-22,1403.0,1407.25,1382.15,1389.25,1389.25,8355816
INFY.NS,2023-03-21,1399.0,1405.0,1390.0,1390.7,1390.7,8535384
INFY.NS,2023-03-20,1419.7,1419.7,1384.85,1403.65,1403.65,8221059
INFY.NS,2023-03-17,1430.0,1442.9,1411.4,1420.7,1420.7,9087957
INFY.NS,2023-03-16,1417.8,1417.8,1398.7,1404.1,1404.1,7322773
INFY.NS,2023-03-15,1438.0,1442.85,1416.85,1419.65,1419.65,7555403
INFY.NS,2023-03-14,1441.0,1448.35,1411.0,1420.0,1420.0,7401950
INFY.NS,2023-03-13,1464.2,1478.3,1428.0,1435.1,1435.1,8797402
INFY.NS,2023-03-10,1460.0,1474.3,1457.65,1471.55,1471.55,3699193
INFY.NS,2023-03-09,1495.0,1498.35,1474.6,1480.4,1480.4,5104267
INFY.NS,2023-03-08,1490.55,1496.0,1481.1,1492.7,1492.7,4136043
INFY.NS,2023-03-06,1494.55,1520.4,1493.15,1507.45,1507.45,6561204
INFY.NS,2023-03-03,1486.75,1489.8,1473.0,1479.3,1479.3,4614026
INFY.NS,2023-03-02,1485.0,1488.6,1467.3,1472.15,1472.15,4642450
INFY.NS,2023-03-01,1492.4,1500.85,1481.5,1496.05,1496.05,5123653
INFY.NS,2023-02-28,1515.6,1524.0,1481.3,1487.55,1487.55,9678543
INFY.NS,2023-02-27,1540.0,1540.0,1502.0,1509.3,1509.3,4919479
INFY.NS,2023-02-24,1560.0,1569.0,1545.0,1550.65,1550.65,2790771
INFY.NS,2023-02-23,1569.85,1569.85,1548.15,1550.7,1550.7,4766068
INFY.NS,2023-02-22,1563.0,1575.0,1555.3,1561.8,1561.8,3655849
INFY.NS,2023-02-21,1598.7,1601.65,1576.0,1579.5,1579.5,2722987
INFY.NS,2023-02-20,1584.95,1603.0,1582.5,1592.45,1592.45,2417587
INFY.NS,2023-02-17,1594.0,1595.0,1575.5,1583.8,1583.8,2857075
INFY.NS,2023-02-16,1600.0,1614.45,1597.85,1601.8,1601.8,4290007
INFY.NS,2023-02-15,1584.0,1599.0,1576.0,1597.05,1597.05,3465362
INFY.NS,2023-02-14,1584.7,1596.0,1578.15,1593.25,1593.25,5043346
INFY.NS,2023-02-13,1597.0,1597.0,1566.0,1567.45,1567.45,3999118
INFY.NS,2023-02-10,1612.95,1616.3,1596.45,1608.55,1608.55,4786231
INFY.NS,2023-02-09,1596.2,1619.75,1586.05,1617.0,1617.0,6903305
INFY.NS,2023-02-08,1565.5,1603.0,1565.5,1590.5,1590.5,7983067
INFY.NS,2023-02-07,1569.0,1576.05,1555.1,1562.4,1562.4,4336052
INFY.NS,2023-02-06,1598.0,1598.0,1561.6,1569.85,1569.85,4569202
INFY.NS,2023-02-03,1597.5,1604.65,1573.0,1599.4,1599.4,7039939
INFY.NS,2023-02-02,1552.0,1586.95,1552.0,1583.75,1583.75,6916360
INFY.NS,2023-02-01,1542.2,1555.05,1528.05,1551.1,1551.1,6193725
INFY.NS,2023-01-31,1548.9,1548.9,1513.0,1533.75,1533.75,9447811
INFY.NS,2023-01-30,1528.8,1544.0,1520.0,1538.8,1538.8,6963862
INFY.NS,2023-01-27,1546.0,1550.95,1507.4,1519.15,1519.15,6208898
INFY.NS,2023-01-25,1547.0,1556.0,1538.75,1543.0,1543.0,4157792
INFY.NS,2023-01-24,1560.0,1568.8,1549.75,1551.9,1551.9,5200396
INFY.NS,2023-01-23,1535.0,1553.3,1528.1,1548.0,1548.0,4853757
INFY.NS,2023-01-20,1538.0,1545.0,1524.0,1525.55,1525.55,6495952
INFY.NS,2023-01-19,1539.9,1549.55,1526.15,1538.9,1538.9,6164798
INFY.NS,2023-01-18,1544.75,1551.85,1539.6,1545.4,1545.4,5842046
INFY.NS,2023-01-17,1527.0,1542.2,1524.0,1539.5,1539.5,5922216
INFY.NS,2023-01-16,1510.0,1528.0,1502.3,1525.5,1525.5,6070983
INFY.NS,2023-01-13,1483.5,1519.4,1468.0,1503.65,1503.65,11608161
INFY.NS,2023-01-12,1481.95,1485.0,1455.0,1480.6,1480.6,6590162
INFY.NS,2023-01-11,1470.0,1494.0,1464.0,1471.25,1471.25,6171143
INFY.NS,2023-01-10,1482.0,1483.9,1455.9,1469.75,1469.75,7157440
INFY.NS,2023-01-09,1448.2,1489.35,1448.2,1484.45,1484.45,11497627
INFY.NS,2023-01-06,1470.0,1475.0,1446.5,1448.5,1448.5,6440488
INFY.NS,2023-01-05,1505.9,1505.9,1469.25,1475.2,1475.2,9866513
INFY.NS,2023-01-04,1521.0,1521.0,1491.1,1494.8,1494.8,7057353
INFY.NS,2023-01-03,1519.85,1532.65,1515.1,1522.55,1522.55,4550173
INFY.NS,2023-01-02,1514.0,1526.5,1504.05,1524.0,1524.0,3800794
INFY.NS,2022-12-30,1528.0,1530.4,1504.05,1508.2,1508.2,5059879
INFY.NS,2022-12-29,1504.0,1521.3,1501.0,1517.55,1517.55,4623601
INFY.NS,2022-12-28,1505.1,1524.95,1498.5,1510.15,1510.15,5029185
INFY.NS,2022-12-27,1509.95,1521.45,1497.5,1514.85,1514.85,4859302
INFY.NS,2022-12-26,1500.5,1509.9,1496.35,1502.4,1502.4,4114855
INFY.NS,2022-12-23,1508.7,1509.9,1493.0,1497.1,1497.1,6282513
INFY.NS,2022-12-22,1521.5,1529.95,1511.75,1522.05,1522.05,6302288
INFY.NS,2022-12-21,1515.0,1521.0,1502.35,1509.55,1509.55,6235416
INFY.NS,2022-12-19,1507.95,1516.9,1495.05,1507.35,1507.35,6222740
INFY.NS,2022-12-16,1525.0,1549.5,1512.05,1522.2,1522.2,9628221
INFY.NS,2022-12-15,1569.3,1570.0,1535.25,1540.5,1540.5,6441464
INFY.NS,2022-12-14,1582.0,1588.5,1573.0,1579.4,1579.4,4975899
INFY.NS,2022-12-13,1547.2,1577.5,1541.15,1572.15,1572.15,6134781
INFY.NS,2022-12-12,1550.0,1565.95,1530.05,1547.2,1547.2,8036188
INFY.NS,2022-12-09,1628.0,1628.0,1561.1,1569.3,1569.3,8877759
INFY.NS,2022-12-08,1605.5,1623.9,1598.5,1620.15,1620.15,4206434
INFY.NS,2022-12-07,1608.0,1623.8,1596.7,1605.5,1605.5,4897208
INFY.NS,2022-12-06,1625.0,1626.0,1607.55,1612.9,1612.9,4821652
INFY.NS,2022-12-05,1638.0,1644.85,1623.3,1639.75,1639.75,3824595
INFY.NS,2022-12-02,1656.0,1661.8,1633.95,1637.9,1637.9,4282346
INFY.NS,2022-12-01,1656.2,1672.6,1652.3,1657.1,1657.1,5406579
INFY.NS,2022-11-30,1619.95,1645.75,1613.15,1634.95,1634.95,11864779
INFY.NS,2022-11-29,1621.2,1638.75,1615.05,1629.05,1629.05,3130383
INFY.NS,2022-11-28,1628.0,1653.5,1620.0,1623.4,1623.4,3825766
INFY.NS,2022-11-25,1631.4,1633.5,1613.8,1630.1,1635.65,3142870
INFY.NS,2022-11-24,1589.0,1636.0,1584.75,1629.8,1629.8,5282215
INFY.NS,2022-11-23,1588.9,1592.0,1581.95,1584.6,1583.15,2063272
INFY.NS,2022-11-22,1569.0,1588.0,1562.0,1585.05,1585.05,3397942
INFY.NS,2022-11-21,1582.1,1587.85,1564.05,1568.2,1568.2,3071764
INFY.NS,2022-11-18,1591.7,1598.0,1575.5,1593.4,1593.4,3126064
INFY.NS,2022-11-17,1597.2,1602.8,1582.95,1587.4,1587.4,3469515
INFY.NS,2022-11-16,1597.15,1609.0,1593.5,1602.8,1602.8,4497145
INFY.NS,2022-11-15,1577.85,1597.85,1572.75,1596.0,1594.0,3496594
INFY.NS,2022-11-14,1575.15,1591.4,1568.45,1585.3,1585.3,4908208
INFY.NS,2022-11-11,1546.65,1573.5,1546.65,1570.1,1570.1,7211424
INFY.NS,2022-11-10,1485.0,1512.0,1485.0,1501.95,1501.95,3434962
INFY.NS,2022-11-09,1529.0,1529.0,1501.1,1511.2,1511.2,3333266
INFY.NS,2022-11-07,1521.4,1527.9,1491.1,1507.45,1507.45,4895471
INFY.NS,2022-11-04,1520.45,1520.45,1501.15,1514.0,1514.0,4508305
INFY.NS,2022-11-03,1538.75,1543.9,1521.65,1530.75,1530.75,3173389
INFY.NS,2022-11-02,1572.0,1572.75,1545.0,1553.3,1553.3,2938234
INFY.NS,2022-11-01,1553.05,1575.0,1547.1,1573.0,1573.0,4541009
INFY.NS,2022-10-31,1530.25,1546.4,1530.25,1537.65,1537.65,4541610
INFY.NS,2022-10-28,1526.0,1527.95,1507.0,1513.25,1513.25,3053392
INFY.NS,2022-10-27,1530.8,1534.9,1512.5,1523.95,1523.95,6758714
INFY.NS,2022-10-25,1528.1,1532.9,1521.05,1526.3,1526.3,3913427
INFY.NS,2022-10-21,1500.3,1506.0,1491.35,1500.5,1500.5,3593932
INFY.NS,2022-10-20,1475.0,1504.0,1474.2,1500.9,1500.9,4582650
INFY.NS,2022-10-18,1510.0,1510.95,1497.25,1503.7,1503.7,4690703
INFY.NS,2022-10-17,1476.9,1494.75,1475.5,1489.95,1489.95,4284842
INFY.NS,2022-10-14,1485.0,1494.0,1467.25,1474.25,1474.25,14987352
INFY.NS,2022-10-13,1431.0,1437.95,1415.0,1419.9,1419.9,4819093
INFY.NS,2022-10-12,1437.0,1441.1,1413.55,1428.7,1428.7,5480623
INFY.NS,2022-10-11,1462.65,1479.65,1420.1,1423.8,1423.8,12822937
INFY.NS,2022-10-10,1426.35,1465.0,1426.35,1462.65,1462.65,5272844
INFY.NS,2022-10-07,1446.35,1457.85,1440.15,1451.2,1451.2,3993690
INFY.NS,2022-10-06,1445.0,1459.8,1444.1,1455.15,1455.15,6179708
INFY.NS,2022-10-04,1419.7,1432.25,1414.0,1429.4,1429.4,6625496
INFY.NS,2022-10-03,1412.0,1412.0,1386.0,1393.75,1393.75,4942041
INFY.NS,2022-09-30,1388.95,1419.3,1376.0,1413.45,1413.45,8118811
INFY.NS,2022-09-29,1404.9,1409.85,1393.0,1398.65,1398.65,6118025
INFY.NS,2022-09-28,1379.0,1405.85,1377.0,1394.7,1394.7,7020498
INFY.NS,2022-09-27,1393.45,1406.5,1378.0,1393.55,1393.55,8560748
INFY.NS,2022-09-26,1360.0,1399.45,1355.0,1380.25,1380.25,9413075
INFY.NS,2022-09-23,1367.5,1394.8,1362.0,1365.45,1365.45,10424027
INFY.NS,2022-09-22,1366.35,1383.95,1360.0,1367.95,1367.95,9166368
INFY.NS,2022-09-21,1379.9,1388.8,1368.4,1377.25,1377.25,7915781
INFY.NS,2022-09-20,1407.95,1413.55,1385.1,1388.55,1388.55,7217030
INFY.NS,2022-09-19,1392.0,1406.0,1380.6,1390.3,1390.3,6594250
INFY.NS,2022-09-16,1425.0,1425.0,1368.35,1377.05,1377.05,20457140
INFY.NS,2022-09-15,1475.0,1475.2,1429.05,1432.8,1432.8,12774773
INFY.NS,2022-09-14,1497.0,1498.95,1472.0,1475.4,1475.4,14325671
INFY.NS,2022-09-13,1551.9,1553.0,1541.3,1544.95,1544.95,4946292
INFY.NS,2022-09-12,1525.8,1545.9,1521.15,1536.2,1536.2,5493831
INFY.NS,2022-09-09,1488.0,1520.0,1480.0,1511.65,1511.65,4814505
INFY.NS,2022-09-08,1475.0,1481.1,1463.6,1475.9,1475.9,4060885
INFY.NS,2022-09-07,1440.0,1465.75,1438.05,1457.65,1457.65,3600229
INFY.NS,2022-09-06,1461.3,1470.0,1445.45,1455.1,1455.1,3428019
INFY.NS,2022-09-05,1451.0,1467.0,1446.35,1461.3,1461.3,3668757
INFY.NS,2022-09-02,1478.0,1478.0,1448.0,1453.0,1453.0,5173894
INFY.NS,2022-09-01,1460.05,1468.1,1451.05,1464.2,1464.2,8138935
INFY.NS,2022-08-30,1473.1,1496.1,1466.0,1492.95,1492.95,6724948
INFY.NS,2022-08-29,1468.55,1468.55,1450.0,1461.75,1461.75,8077702
INFY.NS,2022-08-26,1535.15,1544.95,1517.45,1521.55,1521.55,3077822
INFY.NS,2022-08-25,1548.0,1548.7,1513.75,1518.15,1518.15,4326121
INFY.NS,2022-08-24,1535.0,1546.0,1531.0,1537.5,1537.5,2887186
INFY.NS,2022-08-23,1548.0,1554.5,1533.0,1542.4,1542.4,5551248
INFY.NS,2022-08-22,1586.0,1599.0,1574.0,1575.65,1575.65,3949175
INFY.NS,2022-08-19,1585.3,1604.9,1585.1,1597.1,1597.1,4738967
INFY.NS,2022-08-18,1594.1,1598.2,1574.0,1582.95,1582.95,4634239
INFY.NS,2022-08-17,1596.45,1612.0,1585.0,1606.25,1606.25,4066453
INFY.NS,2022-08-16,1609.0,1609.0,1591.1,1596.45,1596.45,3003584
INFY.NS,2022-08-12,1613.3,1614.0,1590.15,1594.1,1594.1,3560900
INFY.NS,2022-08-11,1630.0,1631.35,1616.0,1619.95,1619.95,3461289
INFY.NS,2022-08-10,1621.2,1621.2,1588.1,1602.45,1602.45,4422422
INFY.NS,2022-08-08,1617.0,1622.0,1596.0,1619.4,1619.4,3762444
INFY.NS,2022-08-05,1608.4,1625.7,1602.3,1616.65,1616.65,5361218
INFY.NS,2022-08-04,1587.5,1603.85,1574.95,1599.9,1599.9,7400954
INFY.NS,2022-08-03,1549.0,1570.0,1539.9,1566.1,1566.1,6010428
INFY.NS,2022-08-02,1546.55,1547.0,1528.35,1543.6,1543.6,4374306
INFY.NS,2022-08-01,1564.0,1564.0,1537.9,1551.05,1551.05,2982606
INFY.NS,2022-07-29,1532.8,1555.7,1528.0,1549.7,1549.7,7009122
